,action_type,combined_shot_type,loc_x,loc_y,shot_made_flag,shot_zone_area,shot_zone_basic,shot_zone_combined,avg_by_shot_zone_combined
17865,Driving Reverse Layup Shot,Layup,-26,4,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17866,Jump Shot,Jump Shot,-136,209,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17867,Jump Shot,Jump Shot,171,200,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
17869,Jump Shot,Jump Shot,2,156,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
17870,Turnaround Bank shot,Bank Shot,-103,61,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17871,Jump Shot,Jump Shot,-161,192,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17872,Jump Shot,Jump Shot,29,11,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17873,Driving Layup Shot,Layup,26,4,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17874,Jump Shot,Jump Shot,-32,77,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17875,Turnaround Fadeaway shot,Jump Shot,121,41,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17876,Jump Shot,Jump Shot,-160,208,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17877,Jump Shot,Jump Shot,170,3,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17878,Jump Shot,Jump Shot,-202,80,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17879,Finger Roll Layup Shot,Layup,-16,11,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17880,Jump Shot,Jump Shot,-75,400,0.0,Back Court(BC),Above the Break 3,Back Court(BC) Above the Break 3,0.0
17881,Jump Shot,Jump Shot,-142,154,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
17882,Layup Shot,Layup,-15,9,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17883,Jump Shot,Jump Shot,-65,22,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17884,Jump Shot,Jump Shot,135,220,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
17885,Jump Shot,Jump Shot,70,69,1.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
17886,Turnaround Jump Shot,Jump Shot,-128,15,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17887,Pullup Jump shot,Jump Shot,-26,115,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17888,Jump Shot,Jump Shot,54,47,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17889,Jump Shot,Jump Shot,133,1,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17890,Driving Layup Shot,Layup,13,19,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17891,Layup Shot,Layup,7,14,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17892,Jump Shot,Jump Shot,147,162,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
17893,Jump Shot,Jump Shot,-127,227,,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17894,Jump Shot,Jump Shot,-134,216,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17895,Turnaround Jump Shot,Jump Shot,-128,9,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17896,Jump Shot,Jump Shot,-142,224,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17897,Jump Shot,Jump Shot,155,17,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17898,Jump Shot,Jump Shot,105,183,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
17899,Jump Shot,Jump Shot,155,195,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
17900,Pullup Jump shot,Jump Shot,-89,15,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17901,Jump Bank Shot,Jump Shot,61,20,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17902,Jump Shot,Jump Shot,-60,99,0.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
17903,Jump Shot,Jump Shot,-78,113,0.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
17904,Jump Shot,Jump Shot,47,108,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17905,Jump Shot,Jump Shot,-10,244,,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
17906,Jump Shot,Jump Shot,157,159,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
17907,Jump Shot,Jump Shot,31,9,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17908,Jump Shot,Jump Shot,143,195,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
17909,Jump Shot,Jump Shot,18,48,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17910,Layup Shot,Layup,21,1,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17911,Driving Layup Shot,Layup,-18,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17912,Jump Shot,Jump Shot,88,170,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
17913,Jump Shot,Jump Shot,141,132,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
17914,Jump Shot,Jump Shot,17,214,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
17915,Jump Shot,Jump Shot,-157,194,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17916,Jump Shot,Jump Shot,177,78,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17917,Jump Shot,Jump Shot,-191,157,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17918,Jump Shot,Jump Shot,43,11,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17919,Jump Shot,Jump Shot,-150,219,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17920,Jump Shot,Jump Shot,20,34,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17921,Jump Shot,Jump Shot,20,23,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17922,Driving Layup Shot,Layup,31,23,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17923,Layup Shot,Layup,2,25,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17924,Alley Oop Dunk Shot,Dunk,-6,20,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17925,Jump Shot,Jump Shot,-7,227,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
17926,Jump Shot,Jump Shot,11,4,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17927,Jump Shot,Jump Shot,17,44,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17929,Jump Bank Shot,Jump Shot,-4,31,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17930,Jump Shot,Jump Shot,10,160,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
17931,Jump Shot,Jump Shot,176,201,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
17932,Jump Shot,Jump Shot,-105,36,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17933,Jump Bank Shot,Jump Shot,9,53,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17934,Floating Jump shot,Jump Shot,15,108,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17935,Jump Shot,Jump Shot,59,83,1.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
17936,Jump Shot,Jump Shot,190,7,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17937,Running Jump Shot,Jump Shot,-106,72,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17938,Jump Shot,Jump Shot,2,37,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17939,Driving Layup Shot,Layup,15,22,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17940,Jump Shot,Jump Shot,-46,99,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17941,Slam Dunk Shot,Dunk,-8,12,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17942,Jump Shot,Jump Shot,26,261,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
17943,Jump Shot,Jump Shot,9,66,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17944,Jump Shot,Jump Shot,159,30,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17945,Jump Shot,Jump Shot,62,244,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
17946,Jump Shot,Jump Shot,94,192,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
17947,Fadeaway Jump Shot,Jump Shot,-106,0,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17948,Jump Shot,Jump Shot,47,41,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17949,Slam Dunk Shot,Dunk,-8,20,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17950,Jump Bank Shot,Jump Shot,-81,47,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17951,Jump Shot,Jump Shot,-169,178,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17952,Jump Shot,Jump Shot,43,67,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17953,Jump Shot,Jump Shot,-59,242,,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
17954,Jump Shot,Jump Shot,-103,146,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
17955,Jump Shot,Jump Shot,-13,61,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17956,Jump Shot,Jump Shot,-86,190,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
17957,Driving Layup Shot,Layup,-27,4,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17958,Floating Jump shot,Jump Shot,32,71,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17959,Jump Shot,Jump Shot,-101,132,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
17960,Jump Shot,Jump Shot,-60,244,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
17961,Jump Shot,Jump Shot,228,36,1.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
17962,Jump Shot,Jump Shot,-59,241,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
17963,Jump Shot,Jump Shot,-46,268,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
17964,Pullup Jump shot,Jump Shot,12,97,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17965,Pullup Jump shot,Jump Shot,-120,129,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
17966,Reverse Layup Shot,Layup,-5,11,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17967,Turnaround Fadeaway shot,Jump Shot,78,61,1.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
17968,Jump Shot,Jump Shot,-122,113,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
17969,Layup Shot,Layup,-2,15,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17970,Jump Shot,Jump Shot,171,178,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
17971,Turnaround Fadeaway shot,Jump Shot,135,80,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17972,Driving Layup Shot,Layup,-4,25,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17973,Jump Shot,Jump Shot,-221,11,0.0,Left Side(L),Left Corner 3,Left Side(L) Left Corner 3,0.37083333333333335
17974,Turnaround Fadeaway shot,Jump Shot,121,23,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17975,Driving Reverse Layup Shot,Layup,-21,17,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17976,Turnaround Fadeaway shot,Jump Shot,105,134,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
17977,Step Back Jump shot,Jump Shot,-183,194,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17978,Jump Shot,Jump Shot,138,250,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
17979,Jump Bank Shot,Jump Shot,-60,36,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17980,Step Back Jump shot,Jump Shot,-185,108,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
17981,Driving Layup Shot,Layup,15,4,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17982,Pullup Jump shot,Jump Shot,-209,186,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17983,Driving Layup Shot,Layup,17,14,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17984,Pullup Jump shot,Jump Shot,43,74,,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
17985,Jump Shot,Jump Shot,-108,219,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17986,Jump Shot,Jump Shot,113,0,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17987,Jump Shot,Jump Shot,24,94,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17988,Fadeaway Jump Shot,Jump Shot,166,56,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
17989,Turnaround Fadeaway shot,Jump Shot,50,102,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
17990,Tip Shot,Tip Shot,10,6,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17991,Driving Dunk Shot,Dunk,12,4,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17992,Jump Shot,Jump Shot,226,78,1.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
17993,Jump Shot,Jump Shot,48,258,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
17994,Jump Shot,Jump Shot,121,249,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
17995,Pullup Jump shot,Jump Shot,-82,247,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17996,Jump Shot,Jump Shot,-138,241,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
17997,Driving Layup Shot,Layup,13,8,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17998,Pullup Jump shot,Jump Shot,88,195,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
18000,Jump Shot,Jump Shot,-175,135,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
18001,Fadeaway Jump Shot,Jump Shot,2,61,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18002,Fadeaway Jump Shot,Jump Shot,-112,156,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
18003,Jump Shot,Jump Shot,95,12,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18004,Jump Shot,Jump Shot,-217,108,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
18005,Driving Layup Shot,Layup,-13,4,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18006,Driving Layup Shot,Layup,2,15,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18007,Jump Shot,Jump Shot,-204,189,,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
18008,Layup Shot,Layup,17,1,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18009,Jump Shot,Jump Shot,135,142,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
18010,Jump Shot,Jump Shot,160,208,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
18011,Jump Shot,Jump Shot,-179,192,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
18012,Driving Layup Shot,Layup,-2,9,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18013,Jump Shot,Jump Shot,0,138,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18014,Driving Dunk Shot,Dunk,-4,19,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18015,Jump Shot,Jump Shot,217,116,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
18016,Layup Shot,Layup,20,9,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18017,Fadeaway Jump Shot,Jump Shot,111,145,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
18018,Jump Shot,Jump Shot,-19,56,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18019,Layup Shot,Layup,-23,17,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18020,Jump Shot,Jump Shot,91,172,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
18021,Layup Shot,Layup,21,20,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18022,Layup Shot,Layup,26,4,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18023,Fadeaway Jump Shot,Jump Shot,92,20,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18024,Jump Shot,Jump Shot,0,48,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18025,Jump Shot,Jump Shot,23,22,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18026,Layup Shot,Layup,20,19,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18027,Jump Shot,Jump Shot,-224,12,0.0,Left Side(L),Left Corner 3,Left Side(L) Left Corner 3,0.37083333333333335
18028,Jump Shot,Jump Shot,211,151,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
18029,Jump Shot,Jump Shot,-54,271,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
18030,Jump Shot,Jump Shot,-84,170,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
18031,Jump Shot,Jump Shot,-109,165,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
18032,Jump Shot,Jump Shot,152,216,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
18033,Turnaround Fadeaway shot,Jump Shot,69,118,,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
18034,Jump Shot,Jump Shot,113,233,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
18035,Layup Shot,Layup,4,26,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18036,Jump Shot,Jump Shot,37,178,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
18037,Jump Shot,Jump Shot,-158,25,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
18038,Driving Layup Shot,Layup,15,19,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18039,Jump Shot,Jump Shot,173,206,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
18040,Jump Shot,Jump Shot,-187,0,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
18041,Turnaround Jump Shot,Jump Shot,-59,101,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
18042,Jump Shot,Jump Shot,118,3,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18043,Tip Shot,Tip Shot,0,19,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18044,Jump Shot,Jump Shot,-81,66,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
18045,Jump Shot,Jump Shot,-23,148,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
18046,Jump Shot,Jump Shot,29,80,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18047,Jump Shot,Jump Shot,214,167,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
18048,Jump Shot,Jump Shot,97,116,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18049,Jump Shot,Jump Shot,95,189,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
18050,Fadeaway Jump Shot,Jump Shot,130,71,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18051,Jump Shot,Jump Shot,110,4,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18052,Jump Shot,Jump Shot,42,85,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18053,Jump Shot,Jump Shot,-19,167,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
18054,Jump Shot,Jump Shot,-116,148,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
18055,Turnaround Fadeaway shot,Jump Shot,-133,61,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
18056,Jump Shot,Jump Shot,-228,17,0.0,Left Side(L),Left Corner 3,Left Side(L) Left Corner 3,0.37083333333333335
18057,Fadeaway Jump Shot,Jump Shot,-13,108,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18058,Driving Layup Shot,Layup,15,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18059,Pullup Jump shot,Jump Shot,-41,105,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18060,Jump Shot,Jump Shot,18,181,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
18061,Jump Shot,Jump Shot,-67,20,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18062,Turnaround Jump Shot,Jump Shot,-100,164,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
18063,Jump Shot,Jump Shot,185,25,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18064,Jump Shot,Jump Shot,13,162,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
18065,Jump Shot,Jump Shot,106,0,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18066,Jump Shot,Jump Shot,-98,50,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
18067,Jump Shot,Jump Shot,144,89,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18068,Jump Shot,Jump Shot,-119,48,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
18069,Jump Shot,Jump Shot,141,205,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
18070,Jump Shot,Jump Shot,92,129,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18071,Jump Shot,Jump Shot,4,61,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
18072,Jump Shot,Jump Shot,-114,203,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
18073,Reverse Layup Shot,Layup,20,1,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
18074,Jump Shot,Jump Shot,100,37,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18075,Jump Shot,Jump Shot,86,181,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
18076,Jump Shot,Jump Shot,-18,219,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
18077,Fadeaway Jump Shot,Jump Shot,151,74,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
18078,Jump Shot,Jump Shot,89,140,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
18079,Jump Shot,Jump Shot,84,192,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
18080,Jump Shot,Jump Shot,88,162,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
18081,Layup Shot,Layup,21,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
